location,bhk,price,sq_feet,latitude,longitude,bhk_num,price_per_sqft
Quepem,2 BHK,4500000,5056.0,15.2142541,74.0707793,2.0,890.0316455696203
Quepem,2 BHK,4500000,4645.0,15.2142541,74.0707793,2.0,968.783638320775
Ponda,2 BHK,4500000,5235.0,15.3979351,74.0079788,2.0,859.5988538681949
Margao,2 BHK,4500000,9294.0,15.272923,73.9583159,2.0,484.1833440929632
Siolim,1 BHK,4500000,7601.0,15.6270222,73.7656851,1.0,592.0273648204184
Ponda,2 BHK,4500000,6156.0,15.3979351,74.0079788,2.0,730.9941520467836
Canconna,1 BHK,4500000,5625.0,,,1.0,800.0
Old Goa,2 BHK,4500000,4645.0,15.5023329,73.9117432,2.0,968.783638320775
Candolim,1 BHK,4500000,12857.0,15.5201532,73.7659422,1.0,350.00388893209924
Chicalim,Land,4500000,1394.0,15.3918926,73.8344664,0.0,3228.1205164992825
Karaswada,2 BHK,4500000,4495.0,15.6104102,73.8266444,2.0,1001.1123470522803
Vagator,Studio Apartment,4500000,5000.0,15.5985735,73.7408126,0.0,900.0
Seraulim,2 BHK,4500000,6000.0,,,2.0,750.0
Nuvem,1 BHK,4520000,6369.0,15.308184,73.9480748,1.0,709.6875490657874
Chimbel,2 BHK,4600000,5750.0,15.4914412,73.8747294,2.0,800.0
Colva,2 BHK,4600000,5380.0,15.278266,73.9197099,2.0,855.0185873605948
Aldona,1 BHK,4600000,7122.0,15.5896313,73.8710503,1.0,645.8859870822803
Sanquelim,2 BHK,4600000,4190.0,15.5626483,74.0114543,2.0,1097.852028639618
Verna,3 BHK,4690000,4690.0,15.3510255,73.9303722,3.0,1000.0
Cansaulim,2 BHK,4690000,4690.0,15.3449171,73.8975655,2.0,1000.0
Mapsa,3 BHK,4700000,4501.0,,,3.0,1044.2123972450568
Mandrem,1 BHK,4700000,7520.0,15.6551117,73.7197877,1.0,625.0
Colva,2 BHK,4700000,5137.0,15.278266,73.9197099,2.0,914.9308935176173
Khorlim,2 BHK,4700000,5822.0,15.5962895,73.7988996,2.0,807.2827207145311
Dabolim,2 BHK,4700000,4700.0,15.3896948,73.8528925,2.0,1000.0
Chorao,Land,4700000,1747.0,15.5473117,73.8777787,0.0,2690.3262736119063
Margao,2 BHK,4700000,4700.0,15.272923,73.9583159,2.0,1000.0
Mormugao,1 BHK,4700000,5875.0,15.4102428,73.7936048,1.0,800.0
Dabolim,2 BHK,4700000,5261.0,15.3896948,73.8528925,2.0,893.3662801748717
Ponda,2 BHK,4700000,6057.0,15.3979351,74.0079788,2.0,775.9616972098398
Carmona,2 BHK,4700000,4603.0,15.1976008,73.9510757,2.0,1021.0732131218771
Maharashtra Border,Land,4730000,2389.0,,,0.0,1979.9079112599413
Cansaulim,2 BHK,4750000,4694.0,15.3449171,73.8975655,2.0,1011.930123561994
Candolim,1 BHK,4800000,8727.0,15.5201532,73.7659422,1.0,550.0171880371262
Bainguinim,1 BHK,4800000,7742.0,15.5003488,73.9022881,1.0,619.9948333763886
Calangute,Studio Apartment,4800000,9290.0,15.545594,73.7646182,0.0,516.6846071044133
Calangute,Studio Apartment,4800000,17857.0,15.545594,73.7646182,0.0,268.80215041720334
Borda,2 BHK,4800000,4329.0,,,2.0,1108.8011088011087
Calangute,1 BHK,4800000,7432.0,15.545594,73.7646182,1.0,645.8557588805166
Ponda,2 BHK,4800000,5309.0,15.3979351,74.0079788,2.0,904.1250706347712
Calangute,1 BHK,4800000,9600.0,15.545594,73.7646182,1.0,500.0
Sanguem,2 BHK,4800000,4054.0,15.2282657,74.1512667,2.0,1184.0157868771585
Calangute,1 BHK,4800000,7619.0,15.545594,73.7646182,1.0,630.0039375246096
Calangute,1 BHK,4800000,9909.0,15.545594,73.7646182,1.0,484.40811383590676
Margao,2 BHK,4800000,5438.0,15.272923,73.9583159,2.0,882.6774549466716
Margao,1 BHK,4800000,7385.0,15.272923,73.9583159,1.0,649.9661475964793
Carambolim Lake,Land,4830000,1394.0,15.4935912,73.9233578,0.0,3464.849354375897
Carambolim Lake,Land,4830000,1394.0,15.4935912,73.9233578,0.0,3464.849354375897
Verna,2 BHK,4880000,4880.0,15.3510255,73.9303722,2.0,1000.0
Mapsa,2 BHK,4900000,7207.0,,,2.0,679.8945469682253
Vasco,2 BHK,4900000,5836.0,15.398403,73.8129178,2.0,839.6161754626456
Verna,2 BHK,4930000,4695.0,15.3510255,73.9303722,2.0,1050.0532481363152
Thivim,1 BHK,4990000,6534.0,15.6298781,73.8770455,1.0,763.6975818794001
Kadamba Plateau,1 BHK,5000000,7146.0,15.4893121,73.8911462,1.0,699.6921354603975
Siolim,1 BHK,5000000,7038.0,15.6270222,73.7656851,1.0,710.4290991759023
Bicholim,1 BHK,5000000,4647.0,15.5557695,73.977291,1.0,1075.9629868732516
Cavelossim,1 BHK,5000000,10096.0,15.1845618,73.9456314,1.0,495.24564183835184
Dabolim,1 BHK,5000000,6250.0,15.3896948,73.8528925,1.0,800.0
Navelim,2 BHK,5000000,5556.0,15.2565946,73.9664212,2.0,899.9280057595392
Navelim,2 BHK,5000000,5556.0,15.2565946,73.9664212,2.0,899.9280057595392
Bandora,2 BHK,5000000,6024.0,15.4054135,73.9837253,2.0,830.0132802124834
Carambolim Lake,3 BHK,5000000,3978.0,15.4935912,73.9233578,3.0,1256.913021618904
Ponda,2 BHK,5000000,5235.0,15.3979351,74.0079788,2.0,955.1098376313277
Porvorim,2 BHK,5000000,4941.0,15.5251795,73.8282988,2.0,1011.9409026512851
Chimbel,3 BHK,5000000,4839.0,15.4914412,73.8747294,3.0,1033.27133705311
Sancoale,3 BHK,5000000,4645.0,15.3886307,73.8893336,3.0,1076.4262648008612
Mapusa,1 BHK,5000000,6502.0,15.590853,73.8102146,1.0,768.9941556444171
Ponda,Land,5000000,1025.0,15.3979351,74.0079788,0.0,4878.048780487805
Cunchelim,1 BHK,5000000,7386.0,15.6160163,73.8165524,1.0,676.9564040075819
Baga,Studio Apartment,5000000,11765.0,15.5592836,73.7539656,0.0,424.9893752656184
Goa,2 BHK,5000000,6394.0,15.4989946,73.8282141,2.0,781.9831091648421
Baga,1 BHK,5000000,7742.0,15.5592836,73.7539656,1.0,645.827951433738
Calangute,1 BHK,5000000,8764.0,15.545594,73.7646182,1.0,570.5157462345961
Fatorda,2 BHK,5000000,6452.0,15.2981753,73.9715379,2.0,774.9535027898326
Vasco,2 BHK,5000000,4167.0,15.398403,73.8129178,2.0,1199.9040076793856
Colva,2 BHK,5000000,5556.0,15.278266,73.9197099,2.0,899.9280057595392
Arpora,2 BHK,5000000,20001.0,15.5630974,73.7640368,2.0,249.98750062496876
Margao,2 BHK,5000000,9294.0,15.272923,73.9583159,2.0,537.9814934366258
Raia,2 BHK,5000000,4167.0,15.31364,73.9840684,2.0,1199.9040076793856
Mapusa,Land,5000000,333.0,15.590853,73.8102146,0.0,15015.015015015015
Bicholim,Land,5000000,115.0,15.5557695,73.977291,0.0,43478.260869565216
Navelim,2 BHK,5000000,12347.0,15.2565946,73.9664212,2.0,404.9566696363489
Tiswadi,2 BHK,5000000,4692.0,15.4904623,73.8838495,2.0,1065.6436487638534
Verla,2 BHK,5000000,13151.0,15.5869941,73.7829566,2.0,380.19922439358226
Vasco,1 BHK,5030000,8400.0,15.398403,73.8129178,1.0,598.8095238095239
Borda,3 BHK,5050000,4691.0,,,3.0,1076.5295246216158
Tiswadi,2 BHK,5050000,4691.0,15.4904623,73.8838495,2.0,1076.5295246216158
Merces,2 BHK,5050000,4691.0,15.4828297,73.8538551,2.0,1076.5295246216158
Old Goa,Land,5100000,1579.0,15.5023329,73.9117432,0.0,3229.8923369221025
Sanquelim,2 BHK,5100000,4156.0,15.5626483,74.0114543,2.0,1227.1414821944177
Porvorim,2 BHK,5100000,5640.0,15.5251795,73.8282988,2.0,904.2553191489362
Curchorem,2 BHK,5100000,4566.0,15.2617381,74.1082756,2.0,1116.951379763469
Santa cruz,3 BHK,5150000,4695.0,15.4731897,73.8468675,3.0,1096.9116080937167
Santa cruz,2 BHK,5150000,4691.0,15.4731897,73.8468675,2.0,1097.8469409507568
Curchorem,2 BHK,5160000,4691.0,15.2617381,74.1082756,2.0,1099.978682583671
Sanquelim,2 BHK,5200000,4238.0,15.5626483,74.0114543,2.0,1226.993865030675
Mumbai Highway,2 BHK,5200000,5428.0,15.6419274,73.8331837,2.0,957.9955784819455
Margao,1 BHK,5200000,6933.0,15.272923,73.9583159,1.0,750.0360594259339
Tiswadi,2 BHK,5200000,4831.0,15.4904623,73.8838495,2.0,1076.3817015110744
Torsem,2 BHK,5200000,5714.0,,,2.0,910.0455022751138
Assagao,1 BHK,5200000,8667.0,15.5981002,73.7721529,1.0,599.9769239644629
Dabolim,2 BHK,5200000,5253.0,15.3896948,73.8528925,2.0,989.9105273177232
Borda,2 BHK,5200000,9199.0,,,2.0,565.2788346559408
Carambolim Lake,1 BHK,5200000,6933.0,15.4935912,73.9233578,1.0,750.0360594259339
Calangute,Studio Apartment,5200000,10379.0,15.545594,73.7646182,0.0,501.0116581558917
Nagoa,1 BHK,5200000,10097.0,15.5545419,73.779931,1.0,515.0044567693375
Ponda,2 BHK,5250000,4646.0,15.3979351,74.0079788,2.0,1130.004304778304
Candolim,Studio Apartment,5300000,14287.0,15.5201532,73.7659422,0.0,370.9666130048296
Assonora,Land,5320000,1952.0,15.6195608,73.9005334,0.0,2725.409836065574
Panjim,1 BHK,5350000,7589.0,15.4989946,73.8282141,1.0,704.9677164316774
Cansaulim,2 BHK,5350000,4689.0,15.3449171,73.8975655,2.0,1140.9682235018126
Panjim,1 BHK,5350000,7766.0,15.4989946,73.8282141,1.0,688.9003347926861
Kundaim,2 BHK,5400000,5284.0,15.4597358,73.961307,2.0,1021.9530658591975
Saligao,2 BHK,5400000,3857.0,15.5462074,73.7891386,2.0,1400.051853772362
Baga,1 BHK,5400000,8958.0,15.5592836,73.7539656,1.0,602.8131279303416
Cuncolim,Land,5430000,1394.0,15.1801323,73.9978596,0.0,3895.265423242468
Thivim,1 BHK,5450000,6572.0,15.6298781,73.8770455,1.0,829.2757151552039
Margao,2 BHK,5500000,3438.0,15.272923,73.9583159,2.0,1599.7673065735894
Calangute,1 BHK,5500000,9641.0,15.545594,73.7646182,1.0,570.4802406389379
Siolim,2 BHK,5500000,6813.0,15.6270222,73.7656851,2.0,807.2801996183766
Arpora,1 BHK,5500000,9826.0,15.5630974,73.7640368,1.0,559.7394667209444
Canca,2 BHK,5500000,4866.0,15.5831807,73.7984276,2.0,1130.2918207973696
Revora,1 BHK,5500000,7405.0,15.6566956,73.8464744,1.0,742.7413909520594
Calangute,1 BHK,5500000,11156.0,15.545594,73.7646182,1.0,493.0082466833991
Canacona,1 BHK,5500000,6308.0,15.0068417,74.0394887,1.0,871.9086873811034
Canca,2 BHK,5500000,4866.0,15.5831807,73.7984276,2.0,1130.2918207973696
Ponda,2 BHK,5500000,5322.0,15.3979351,74.0079788,2.0,1033.4460729049229
Mapusa,1 BHK,5500000,6636.0,15.590853,73.8102146,1.0,828.8125376732971
Colva,1 BHK,5500000,7143.0,15.278266,73.9197099,1.0,769.9846003079938
Porvorim,2 BHK,5500000,5873.0,15.5251795,73.8282988,2.0,936.4890175378853
Goa,2 BHK,5500000,3235.0,15.4989946,73.8282141,2.0,1700.1545595054097
Calangute,1 BHK,5500000,6999.0,15.545594,73.7646182,1.0,785.8265466495213
Karaswada,2 BHK,5500000,6732.0,15.6104102,73.8266444,2.0,816.9934640522875
Margao,2 BHK,5500000,9294.0,15.272923,73.9583159,2.0,591.7796427802883
Benaulim,2 BHK,5500000,5000.0,15.2601367,73.9275675,2.0,1100.0
Panaji,1 BHK,5500000,10185.0,15.4989946,73.8282141,1.0,540.0098183603338
Merces,Land,5500000,1703.0,15.4828297,73.8538551,0.0,3229.5948326482676
Sancoale,2 BHK,5500000,5000.0,15.3886307,73.8893336,2.0,1100.0
Dabolim,3 BHK,5500000,8444.0,15.3896948,73.8528925,3.0,651.3500710563713
Vasco,2 BHK,5500000,5340.0,15.398403,73.8129178,2.0,1029.9625468164793
Bambolim,Land,5500000,1703.0,15.4549212,73.8464479,0.0,3229.5948326482676
Fatorda,2 BHK,5500000,6460.0,15.2981753,73.9715379,2.0,851.3931888544892
Calangute,1 BHK,5500000,9290.0,15.545594,73.7646182,1.0,592.0344456404737
Porvorim,1 BHK,5500000,13575.0,15.5251795,73.8282988,1.0,405.15653775322284
Duler,1 BHK,5510000,7350.0,15.6000769,73.8161301,1.0,749.6598639455782
Old Goa,Land,5550000,1719.0,15.5023329,73.9117432,0.0,3228.621291448517
Mugrupoim,2 BHK,5550000,4687.0,,,2.0,1184.1263068060593
Sanquelim,3 BHK,5600000,4335.0,15.5626483,74.0114543,3.0,1291.8108419838525
Candolim,1 BHK,5600000,8615.0,15.5201532,73.7659422,1.0,650.0290191526408
Dabolim,Studio Apartment,5600000,16867.0,15.3896948,73.8528925,0.0,332.0092488290745
Calangute,1 BHK,5600000,11178.0,15.545594,73.7646182,1.0,500.9840758633029
Davorlim,2 BHK,5700000,5191.0,,,2.0,1098.0543247929108
Margao,2 BHK,5700000,5191.0,15.272923,73.9583159,2.0,1098.0543247929108
Porvorim,1 BHK,5700000,7906.0,15.5251795,73.8282988,1.0,720.9714141158614
Porvorim,1 BHK,5700000,11400.0,15.5251795,73.8282988,1.0,500.0
Calangute,1 BHK,5700000,9991.0,15.545594,73.7646182,1.0,570.5134621159043
Aquem,2 BHK,5700000,7348.0,15.2722287,73.9700286,2.0,775.7212847033206
Arpora,1 BHK,5760000,20001.0,15.5630974,73.7640368,1.0,287.985600719964
Fatorda,2 BHK,5800000,6460.0,15.2981753,73.9715379,2.0,897.8328173374613
Kadamba Plateau,2 BHK,5800000,6339.0,15.4893121,73.8911462,2.0,914.9708155860545
Anjuna,2 BHK,5800000,5672.0,15.5850408,73.7438151,2.0,1022.5669957686883
Loutolim,Land,5850000,1672.0,15.3400173,73.9860024,0.0,3498.803827751196
Chicalim,1 BHK,5870000,10861.0,15.3918926,73.8344664,1.0,540.4658871190499
