Location,BHK,price,sq_feet,latitude,longitude
Panjim,2 BHK,11000000,7048,15.4989946,73.8282141
Dabolim,3 BHK,11000000,9735,15.3896948,73.8528925
Calangute,1 BHK,11000000,31429,15.545594,73.7646182
Porvorim,2 BHK,11000000,8462,15.5251795,73.8282988
Dabolim,2 BHK,11000000,15942,15.3896948,73.8528925
Porvorim,2 BHK,11000000,13575,15.5251795,73.8282988
Sancole,Studio Apartment,11000000,12717,15.381958,73.875663
Dabolim,2 BHK,11000000,8444,15.3896948,73.8528925
Dabolim,2 BHK,11000000,8594,15.3896948,73.8528925
Dabolim,2 BHK,11000000,12774,15.3896948,73.8528925
Colva,3 BHK,11000000,8964,15.278266,73.9197099
Calangute,3 BHK,11000000,7333,15.545594,73.7646182
Arpora,2 BHK,11000000,11354,15.5630974,73.7640368
Calangute,3 BHK,11000000,7299,15.545594,73.7646182
Dona Paula,2 BHK,11000000,9921,15.4581997,73.8038671
Old Goa,3 BHK,11000000,8376,15.5023329,73.9117432
Dona Paula,2 BHK,11000000,8886,15.4581997,73.8038671
Dabolim,2 BHK,11000000,14103,15.3896948,73.8528925
Adora de,3 BHK,11100000,9728,15.3971412,73.8643882
Adora de,3 BHK,11100000,9737,15.3971412,73.8643882
Panjim,2 BHK,11100000,10412,15.4989946,73.8282141
Mapusa,Office Space,11200000,15000,15.590853,73.8102146
Merces,2 BHK,11300000,6038,15.4828297,73.8538551
Dabolim,3 BHK,11300000,10000,15.3896948,73.8528925
Verna,3 BHK,11300000,5727,15.3510255,73.9303722
Dabolim,2 BHK,11400000,9244,15.3896948,73.8528925
Dabolim,2 BHK,11400000,9244,15.3896948,73.8528925
Caranzalem,2 BHK,11500000,9712,15.4677228,73.8079977
Panaji,Office Space,11500000,11489,15.4989946,73.8282141
Porvorim,2 BHK,11500000,7631,15.5251795,73.8282988
Panjim,Office Space,11500000,14839,15.4989946,73.8282141
Caranzalem,3 BHK,11500000,9539,15.4677228,73.8079977
Vasco,2 BHK,11500000,8155,15.398403,73.8129178
Caranzalem,2 BHK,11500000,8903,15.4677228,73.8079977
Mapusa,Office Space,11500000,9536,15.590853,73.8102146
Panjim,3 BHK,11500000,7122,15.4989946,73.8282141
Reis Magos,1 BHK,11500000,13354,15.4966011,73.8095534
Panjim,2 BHK,11600000,7432,15.4989946,73.8282141
Mapusa,3 BHK,11600000,7438,15.590853,73.8102146
Calangute,1 BHK,11600000,17857,15.545594,73.7646182
Morjim,3 BHK,11700000,5726,15.6294635,73.7358315
Morjim,3 BHK,11700000,5726,15.6294635,73.7358315
Dabolim,2 BHK,11700000,9240,15.3896948,73.8528925
Velha,3 BHK,11700000,6500,15.5023329,73.9117432
Dabolim,2 BHK,11700000,9240,15.3896948,73.8528925
Arpora,1 BHK,11700000,20001,15.5630974,73.7640368
Dabolim,3 BHK,11800000,6980,15.3896948,73.8528925
Arpora,2 BHK,11800000,9135,15.5630974,73.7640368
Calangute,1 BHK,11800000,14434,15.545594,73.7646182
Colvale,Land,11800000,3754,15.6444652,73.836751
Dabolim,3 BHK,11800000,6980,15.3896948,73.8528925
Carambolim,2 BHK,11900000,10051,15.4845631,73.9320931
Margao,Office Space,12000000,10909,15.272923,73.9583159
Porvorim,2 BHK,12000000,13575,15.5251795,73.8282988
Calangute,3 BHK,12000000,10135,15.545594,73.7646182
Arpora,2 BHK,12000000,20001,15.5630974,73.7640368
Panjim,3 BHK,12000000,8137,15.4989946,73.8282141
Dabolim,3 BHK,12000000,10573,15.3896948,73.8528925
Taleigao,2 BHK,12000000,10929,15.4702665,73.8225674
Majorda,3 BHK,12000000,8137,15.3132484,73.9103868
Taleigao,2 BHK,12000000,10540,15.4702665,73.8225674
Baga,2 BHK,12000000,9779,15.5592836,73.7539656
Siolim,1 BHK,12000000,19907,15.6270222,73.7656851
Candolim,2 BHK,12000000,10000,15.5201532,73.7659422
Arpora,2 BHK,12000000,10909,15.5630974,73.7640368
Candolim,1 BHK,12000000,17143,15.5201532,73.7659422
Taleigao,2 BHK,12000000,10929,15.4702665,73.8225674
Caranzalem,3 BHK,12000000,8571,15.4677228,73.8079977
Porvorim,2 BHK,12000000,8990,15.5251795,73.8282988
Orlim,Land,12000000,1715,15.2113931,73.9370708
Velha,3 BHK,12000000,6159,15.5023329,73.9117432
Margao,Land,12000000,1858,15.272923,73.9583159
Panjim,Office Space,12000000,11988,15.4989946,73.8282141
Calangute,1 BHK,12000000,17857,15.545594,73.7646182
Arpora,1 BHK,12000000,14035,15.5630974,73.7640368
Taleigao,2 BHK,12000000,10929,15.4702665,73.8225674
Dabolim,3 BHK,12000000,6557,15.3896948,73.8528925
Porvorim,2 BHK,12100000,9300,15.5251795,73.8282988
Porvorim,2 BHK,12100000,9290,15.5251795,73.8282988
Kadamba Plateau,Land,12200000,3542,15.4893121,73.8911462
Kadamba Plateau,Land,12200000,5021,15.4893121,73.8911462
